Animal,Country,State,City,Scientific Name,Stauts,Population,Lifespan
Bengal Tiger,India,West Bengal,Sundarban,Panthera tigris tigris,Endangered,2000-2500,26 Years
Asiatic Lion ,India,Gujrat,Gir National Park,Panthera leo persica,Endangered,674,13-20 Years
Sloth Bear,India,Maharashtra,Kanhan,Ursus ursinus,Vulnerable,"<20,000",30 Years
Great Indian Bustard,India,Rajasthan,-,Ardeotis nigriceps,Critically Endangered,200,12-15 Years
Cheetah,Niger,Sahel,-,Acinonyx jubatus,Vulnerable,<7000,12-14 Years
Jaguar,Brazil,Amazon Rainforest,"Codaj?, State of Amazonas",Panthera onca,Vulnerable,"1,73,000",18-20 Years
Black Rhinoceros,Kenya,Kenya,-,Diceros bicornis,Critically Endangered,>6000,35-40 Years
Black Buck,India,Haryana,-,Antilope cervicapra,Near Threatned,"50,000",10-15 Years
Brown Howler,Brazil,State of Bahia,,Alouatta guariba,Least Concerned,"1,00,000",15-20 Years
Himalayan Wolf,-,"Qing Zang Gaoyuan, Golmud, Haixi Mongol and Tibetan Autonomous Prefecture",-,Canis himalayensis,Endangered,350,6-13 Years
Caracal,Saudi Arabia,Arabia,-,Caracal caracal,Least Concerned,"3,000",12 Years
Clouded Leopard,India ,Assam,-,Neofelis nebulosa,Vulnerable,">10,000",12-15 Years
Hoolock Gabbon,India,Assam,"Mariani, M985+9WX, Jorhat",Hoolock,Endangered,"12,000",35 Years
Indian Pangolin,India,Odisha,-,Manis crassicaudata,Endangered,-,13 Years
Himalayan Yellow Throated Marten,India,Himalayas,-,Martes flavigula,Least Concerned,<1000,10-12 Years
Lion Tailed Macaque,-,Karnataka,Western Ghats,Macaca silenus,Endangered,3000-3500,20 years
Malabar Large Spotted Civet,-,Maharashtra,"2222+63, Verle",Viverra civettina,Critically Endangered,<250,15 Years
Monitor Lizard,Philippines,-,-,Varanus,Least Concerned,>6000,35-40 Years
Slender Loris,Sri Lanka,-,-,Loris,Endangered,1500,15 Years
Striped Hyena,Tanzania,-,-,Hyaena hyaena,Near Threatned,"5000-14,000",12 Years
